jpidiom;asdfg123;Juan Perez;Soy un apasionado del aprendizaje de idiomas.;15/7/1995;Argentina
marsilva;qwer456;Maria Silva;Como amante de los idiomas disfruto explorando nuevas formas de interactuar.;28/2/1998;Ecuador
pero12;789werty;Pedro Rodriguez;Soy un entusiasta del aprendizaje de idiomas.;10/11/1994;Peru
laugu;c1v2b3m4;Laura Gutierrez;Estoy fascinada por la forma en que las palabras pueden unir a las personas;22/4/1997;Chile
carlo22;tyuipz147;Carlos Lopez;Emocionado por adquirir fluidez en diferentes lenguas.;3/9/1996;Uruguay
anator;1qsxc36;Ana Torres;Disfruto de la belleza de las diferentes estructuras y sonidos.;12/1/1999;Argentina
luher24;t7h8y5u6;Lucia Hernandez;Emocionada en la riqueza cultural que cada idioma ofrece.;25/6/1993;Colombia
dagon;1w2e3r4t5;David Gonzalez;Aprender nuevas lenguas y sumergirme en diferentes culturas.;8/12/1997;Uruguay
carmor;6yu7i8m9;Carmen Morales;El aprendizaje de idiomas y expandir mis habilidades comunicativas en diferentes lenguas.;17/3/1995;Chile
jose24;qwj789p;Jose Fernandez;Disfruto del proceso de descubrir nuevas formas de comunicarme;2/8/1998;Bolivia
